,delta_turnover_score,delta_margin_score,delta_eq_score,delta_liquid_score,delta_lev_score,accrual_score,delta_roa_score,cfo_score,roa_score,final_score,stock,date/year,id
0,1,0,1,1,0,0,1,1,1,6,State Bank Of India,2024,0
1,1,1,0,1,0,0,1,0,1,5,State Bank Of India,2023,1
2,0,1,1,1,1,1,1,1,1,8,State Bank Of India,2022,2
3,0,1,1,0,0,1,0,1,1,5,State Bank Of India,2021,3
4,1,1,1,0,1,1,1,1,1,8,State Bank Of India,2020,4
5,1,1,0,1,0,1,1,1,1,7,State Bank Of India,2019,5
6,1,0,0,0,0,1,1,1,1,5,State Bank Of India,2024-03-31,6
7,0,0,1,1,1,1,0,1,1,6,State Bank Of India,2023-09-30,7
8,1,0,0,1,0,0,1,0,1,4,State Bank Of India,2023-03-31,8
9,0,1,1,1,0,1,0,1,1,6,Reliance Industries,2024,9
10,1,1,0,0,1,1,1,1,1,7,Reliance Industries,2023,10
11,1,0,0,0,0,1,1,1,1,5,Reliance Industries,2022,11
12,0,1,1,1,1,0,1,1,1,7,Reliance Industries,2021,12
13,0,1,0,0,1,1,0,1,1,5,Reliance Industries,2020,13
14,1,1,0,1,0,1,0,1,1,6,Reliance Industries,2019,14
15,1,1,0,1,0,1,1,1,1,7,Reliance Industries,2018,15
16,0,1,0,1,1,1,1,1,1,7,Reliance Industries,2024-03-31,16
17,0,0,1,1,0,1,0,1,1,5,Reliance Industries,2023-09-30,17
18,1,1,0,1,0,1,1,1,1,7,Reliance Industries,2023-03-31,18
19,1,0,0,0,1,1,1,1,1,6,ICICI Bank,2024,19
20,1,1,0,1,0,0,1,0,1,5,ICICI Bank,2023,20
21,0,1,0,1,1,1,1,1,1,7,ICICI Bank,2022,21
22,0,1,0,1,1,1,1,1,1,7,ICICI Bank,2021,22
23,1,1,1,0,1,1,1,1,1,8,ICICI Bank,2020,23
24,1,1,0,0,1,1,0,1,1,6,ICICI Bank,2019,24
25,1,1,0,1,0,1,1,1,1,7,ICICI Bank,2018,25
26,1,0,0,0,1,1,0,1,1,5,ICICI Bank,2024-03-31,26
27,0,0,0,0,1,0,1,1,1,4,ICICI Bank,2023-09-30,27
