,stock_name,disclosure_date,piotroski_score,purpose,mean_volume,mean_close,lowest_point_1,stoploss,1st_exit,2nd_exit,3rd_exit,4th_exit,5th_exit,6th_exit,7th_exit,8th_exit,9th_exit,10th_exit
0,State Bank Of India,2024-05-09,6,Annually,22246826.229166668,837.7406247456869,4.009148344637933,4.009148344637933,3.1652888545514584,5.298547154240014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,State Bank Of India,2023-05-18,5,Annually,17646117.18292683,640.7528458261878,1.560497548256342,2.971579158987801,1.4195103258449224,5.165599805556492,1.5793026079977894,6.310731919827751,1.6680736496654203,0.08796673658611937,12.995102112589931,11.450505819753248,36.971822218167645,32.5688468622957
2,State Bank Of India,2022-05-13,8,Annually,14300937.20564516,540.6471774193549,0.717115772413761,0.717115772413761,1.8347106602065486,10.765373727857165,19.855926166224254,27.450411175060434,19.102184697149447,37.23759141438151,42.86780696519426,35.87859678834058,22.768101889916927,18.211392099601035
3,State Bank Of India,2021-05-21,5,Annually,23232709.257028114,469.10341389973956,0.0,0.0,5.58956658631059,5.878848464816403,2.306795893677838,10.381660388763942,26.51881471688019,24.028425524624435,14.670646487943758,28.64444173268499,28.757637935395653,22.531685158262142
4,State Bank Of India,2024-05-09,5,Quarterly-03,22246826.229166668,837.7406247456869,4.009148344637933,4.009148344637933,3.1652888545514584,5.298547154240014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,State Bank Of India,2023-11-04,6,Quarterly-9,19687532.55882353,729.2867650649126,2.7551639895030378,2.7551639895030378,6.503007904528475,9.166880246112674,21.79855575633704,34.708806575682544,33.420382264708564,42.82231515509326,48.56326583358437,55.90999538841277,0.0,0.0
6,State Bank Of India,2023-05-18,4,Quarterly-03,17646117.18292683,640.7528458261878,0.0,1.560497548256342,1.4195103258449224,5.165599805556492,1.5793026079977894,6.310731919827751,1.6680736496654203,0.08796673658611937,12.995102112589931,11.450505819753248,36.971822218167645,32.5688468622957
7,Reliance Industries,2024-04-22,6,Annually,6315411.383333334,2960.9266764322915,6.1490164501703575,6.1490164501703575,0.41896633743110473,-2.5931682692906524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Reliance Industries,2023-04-21,7,Annually,6259264.477551021,2530.9639379384566,0.0,0.0,4.493396998774491,9.165608683541286,17.094193551303285,16.612193954721146,9.45643115312533,4.753799275316872,10.877399954912121,19.326857177080665,25.256048866672653,37.683759944900125
9,Reliance Industries,2022-05-06,5,Annually,6944864.3427419355,2297.3100841891383,10.224812081616413,13.280154345307334,5.605485564795221,-7.150899573443419,-0.5456643982560526,-0.5848589078948331,-7.274813975967476,-0.211601574853079,1.4690268868035734,-3.7546856594229823,-11.51081878214722,-7.456651299139977
10,Reliance Industries,2021-04-30,7,Annually,7431200.248995984,2170.988465090832,4.25215916725916,4.25215916725916,8.744038006691971,6.1924405324768905,2.401384887429326,13.613559998780719,26.750187330276425,27.68349909173707,24.918802332307997,19.147951224789967,19.67875327974532,19.65862846435399
11,Reliance Industries,2024-04-22,7,Quarterly-03,6315411.383333334,2960.9266764322915,6.1490164501703575,6.1490164501703575,0.41896633743110473,-2.5931682692906524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Reliance Industries,2023-10-27,5,Quarterly-9,6032336.0397727275,2787.02727023038,0.0,0.0,5.95374258260434,14.085528090124932,25.926822248755133,28.94342107403986,29.896720264177866,23.706853683826367,26.36595857841587,41.30991172341534,0.0,0.0
13,Reliance Industries,2023-04-21,7,Quarterly-03,6259264.477551021,2530.9639379384566,0.0,0.0,4.493396998774491,9.165608683541286,17.094193551303285,16.612193954721146,9.45643115312533,4.753799275316872,10.877399954912121,19.326857177080665,25.256048866672653,37.683759944900125
14,ICICI Bank,2024-04-27,6,Annually,17710572.90909091,1157.7445445667613,8.278508309713741,8.278508309713741,-4.003798841934021,4.4563160008539615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,ICICI Bank,2023-04-22,5,Annually,16312283.610655738,982.2391397444928,0.0,0.0,3.967960713895797,2.3210844057625617,9.64355135233888,8.634173117152228,6.774635149125132,2.931960338634719,4.426338828933067,12.611679946190634,14.201560734963087,19.12287112031342
16,ICICI Bank,2022-04-23,7,Annually,13250565.178137653,839.1751022029985,11.050419269786072,11.050419269786072,-5.164857186837316,-7.0526438514681695,6.3613419263398505,16.79614401763854,17.99313494403108,23.71725396101614,24.41938496633235,19.457600001991555,16.45510682410462,12.30912916354276
17,ICICI Bank,2021-04-24,7,Annually,14847587.97983871,713.557257621519,0.0,0.0,10.387420322449765,7.266118119601872,14.489947710705797,17.251484996680354,22.664003608451647,40.72553685938254,22.536746168323592,24.87820469575294,36.01714925329981,20.02561458427877
18,ICICI Bank,2024-04-27,5,Quarterly-03,17710572.90909091,1157.7445445667613,5.2767717254140205,8.278508309713741,-4.003798841934021,4.4563160008539615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,ICICI Bank,2023-10-21,4,Quarterly-9,16218490.770949721,1059.9438537938636,2.3441354999912005,2.3441354999912005,-0.7473533110168932,7.005748967547963,8.602612930789435,13.360926644859536,17.56546421601936,22.52808604923203,24.73788749644681,29.211243595148197,0.0,0.0
20,ICICI Bank,2023-04-22,4,Quarterly-03,16312283.610655738,982.2391397444928,0.0,0.0,3.967960713895797,2.3210844057625617,9.64355135233888,8.634173117152228,6.774635149125132,2.931960338634719,4.426338828933067,12.611679946190634,14.201560734963087,19.12287112031342
21,HDFC Bank,2024-04-20,3,Annually,21209272.216666665,1568.8841654459636,4.469773749343487,4.469773749343487,0.05172219950187618,12.104050238530903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
