,stock_name,disclosure_date,piotroski_score,purpose,mean_volume,mean_close,lowest_point_1,stoploss,1st_exit,2nd_exit,3rd_exit,4th_exit,5th_exit,6th_exit,7th_exit,8th_exit,9th_exit,10th_exit
6008,Orient Ceratech,2024-05-16,4,Annually,229627.0,49.60624980926514,24.137935101157517,24.137935101157517,3.639842305386681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6009,Orient Ceratech,2023-05-22,8,Annually,218544.27411167513,48.148477263862105,17.65651359146833,17.65651359146833,-15.006830520897452,7.033602053600931,18.575096314957037,54.710952398523375,42.75726827803784,52.78736827451566,64.87845949740112,48.52801016737082,28.330403072015244,0.0
6010,Jyoti Structures,2024-05-29,5,Annually,4740623.9375,26.57750004529953,11.578947368421053,11.578947368421053,3.811321618422022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6011,Jyoti Structures,2023-05-29,4,Annually,2906476.6897959183,17.622822076447157,15.277783480691474,15.277783480691474,4.819272401665551,11.445780571494492,27.710845034706278,71.08433111985147,49.397582332252995,108.43372095788884,136.74697791531625,257.22890285747246,215.0602291277178,203.01203663350216
6012,Jyoti Structures,2022-05-30,4,Annually,511655.97580645164,12.618951580216807,47.87644710874295,254.629616302391,-22.454304557268518,-18.015665159213814,-11.48824490556134,-8.355093542255243,-29.76501265174751,-32.11488115424972,-29.242817437848075,-51.95822458208895,-62.14099141294697,-72.58485585075469
6013,Jyoti Structures,2021-08-06,4,Annually,146645.136,17.778199939727784,45.54973131849416,45.54973131849416,-12.230214790789235,12.230221651755729,40.28777363421142,38.84891918508733,39.208639658334846,76.61870439429809,35.61151725745763,45.683457235527236,17.266184779824037,25.17985680614051
6014,Jyoti Structures,2021-04-14,4,Annually,160108.73493975904,14.639156598163895,64.36782188783452,64.36782188783452,-32.86713109493748,-13.986013799467104,23.076924102930935,66.43355887841767,124.47551081096529,173.42655910910014,149.65035165572863,148.9510349600327,227.27271757228934,207.69230358827627
6015,Jyoti Structures,2021-03-17,4,Annually,160505.09274193548,13.529435459644564,0.0,0.0,66.25000238418579,17.499995231628418,46.24999761581421,129.99999523162842,157.50000476837158,297.49999046325684,398.7500190734863,316.24999046325684,317.5000190734863,465.00000953674316
6016,Jyoti Structures,2024-05-29,4,Quarterly-03,4740623.9375,26.57750004529953,11.578947368421053,11.578947368421053,3.811321618422022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6017,Jyoti Structures,2023-11-07,5,Quarterly-9,3345582.5843373495,23.76579160575407,0.0,0.0,37.63837163103995,57.564576243093335,152.02952800864006,50.113909533259125,60.1476048522667,91.51291806389337,103.17343394186669,0.0,0.0,0.0
6018,Jyoti Structures,2023-05-29,5,Quarterly-03,2906476.6897959183,17.622822076447157,15.277783480691474,15.277783480691474,4.819272401665551,11.445780571494492,27.710845034706278,71.08433111985147,49.397582332252995,108.43372095788884,136.74697791531625,257.22890285747246,215.0602291277178,203.01203663350216
6019,S.P. Apparels,2024-05-21,6,Annually,67018.97368421052,668.973682604338,7.697142961020506,7.697142961020506,14.87713249362245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6020,S.P. Apparels,2023-05-16,6,Annually,55288.239837398374,544.0993899213589,4.724511174025611,4.724511174025611,6.088422594529962,25.142188434145407,17.334541626947306,38.34021520171512,51.98456117458452,57.339693508280455,58.24954716756005,57.0017510367229,53.32333632471418,47.864214369036546
6021,S.P. Apparels,2022-05-20,6,Annually,53542.14112903226,366.09576588292276,1.1246633437211029,15.359592119325546,9.790106731842974,19.501883457871763,40.42919421227008,31.516281643476574,24.34209716766082,21.663533979148912,1.879699031276629,-0.6265631392912845,-3.038844684326616,4.1196699449651915
6022,S.P. Apparels,2021-06-21,7,Annually,107386.99598393575,360.45180722891564,11.182556295379879,11.182556295379879,23.316800380814627,28.70714558600302,30.491958764150308,32.65572233220356,62.15790016691285,62.94851443479469,99.12922364074308,70.20961914451547,57.435053128134726,55.56256984495697
6023,S.P. Apparels,2024-05-21,5,Quarterly-03,67018.97368421052,668.973682604338,7.697142961020506,7.697142961020506,14.87713249362245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6024,S.P. Apparels,2023-11-07,6,Quarterly-9,51888.89759036145,614.2641561117517,3.172949769045297,3.172949769045297,7.301909603962295,-1.1511596885068354,4.268553051865575,-4.638261684250324,-0.42853337455339097,-1.7561570324184335,2.739263612696667,0.0,0.0,0.0
6025,S.P. Apparels,2023-05-16,6,Quarterly-03,55288.239837398374,544.0993899213589,4.724511174025611,4.724511174025611,6.088422594529962,25.142188434145407,17.334541626947306,38.34021520171512,51.98456117458452,57.339693508280455,58.24954716756005,57.0017510367229,53.32333632471418,47.864214369036546
6026,Ruby Mills,2024-05-21,9,Annually,47814.68421052631,218.22578992341695,12.546327672206628,12.546327672206628,5.644402472009884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6027,Ruby Mills,2023-05-30,7,Annually,49061.35510204082,220.4718369464485,0.2958618446790491,0.980956582390028,12.44300842473427,12.791637122791203,26.709574518839258,27.33015219140154,15.281770428047569,19.405711578292777,25.685963547107605,30.591573949622685,19.16312825633829,12.855920757156747
6028,Ruby Mills,2022-05-30,7,Annually,64240.58064516129,212.0490929388231,12.348207604471082,32.51060505647713,-3.5811948898425165,-2.8910091878628106,65.18388617243036,55.88988098796508,17.891887200832027,18.501762573418194,6.516360931895882,-0.32487699888253635,-8.27979650270232,-19.893976375554328
6029,Ruby Mills,2021-06-29,4,Annually,120902.578313253,158.4301209660419,1.309288912728543,1.309288912728543,26.313567709065744,18.58053232027942,18.18316531942454,15.698006385890546,9.219596310256428,8.667338032451616,52.69927783293632,36.726286530886455,40.464638011703045,84.05052993764285
6030,Ruby Mills,2024-05-21,8,Quarterly-03,47814.68421052631,218.22578992341695,12.546327672206628,12.546327672206628,5.644402472009884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6031,Ruby Mills,2023-11-04,7,Quarterly-9,33746.44311377245,218.24209622137562,1.031636834953638,1.031636834953638,0.06807074759685332,5.196277118714137,11.754024587735715,-7.32925287403283,-7.351945431497215,-9.235309979503988,-2.6321773955536436,0.0,0.0,0.0
