,companyName,disclosure_date,piotroski_score,purpose
131,Bharti Airtel,2023-10-31,5,Quarterly-9
132,Bharti Airtel,2023-08-03,6,Quarterly-6
133,Bharti Airtel,2023-05-16,5,Quarterly-03
134,Bharti Airtel,2022-02-08,7,Quarterly-12
135,CANARA BANK,2024-05-08,7,Annually
136,CANARA BANK,2023-05-08,6,Annually
137,CANARA BANK,2022-05-06,6,Annually
138,CANARA BANK,2021-05-18,6,Annually
139,CANARA BANK,2024-05-08,7,Quarterly-03
140,CANARA BANK,2023-10-26,5,Quarterly-9
141,CANARA BANK,2023-05-08,5,Quarterly-03
142,Vedanta,2024-04-25,6,Annually
143,Vedanta,2023-05-12,4,Annually
144,Vedanta,2022-04-28,8,Annually
145,Vedanta,2021-05-13,7,Annually
146,Vedanta,2023-11-04,8,Quarterly-9
147,Vedanta,2023-05-12,7,Quarterly-03
148,Kotak Mahindra Bank,2024-05-04,3,Annually
149,Kotak Mahindra Bank,2023-04-29,6,Annually
150,Kotak Mahindra Bank,2022-05-04,5,Annually
151,Kotak Mahindra Bank,2021-05-03,7,Annually
152,Kotak Mahindra Bank,2024-05-04,5,Quarterly-03
153,Kotak Mahindra Bank,2023-10-21,3,Quarterly-9
154,Kotak Mahindra Bank,2023-04-29,4,Quarterly-03
155,Coal India,2024-05-02,6,Annually
156,Coal India,2023-05-08,8,Annually
157,Coal India,2023-05-07,8,Annually
158,Coal India,2022-05-25,7,Annually
159,Coal India,2021-06-14,3,Annually
160,Coal India,2024-05-02,6,Quarterly-03
161,Coal India,2023-11-10,5,Quarterly-9
162,Coal India,2023-05-08,6,Quarterly-03
163,Coal India,2023-05-07,6,Quarterly-03
164,HCL Technologies,2024-04-26,7,Annually
165,HCL Technologies,2023-04-20,7,Annually
166,HCL Technologies,2022-04-21,8,Annually
167,HCL Technologies,2021-04-23,7,Annually
168,HCL Technologies,2024-04-26,6,Quarterly-03
169,HCL Technologies,2023-10-12,7,Quarterly-9
170,HCL Technologies,2023-04-20,7,Quarterly-03
171,Maruti Suzuki India,2024-04-26,8,Annually
172,Maruti Suzuki India,2023-04-26,6,Annually
173,Maruti Suzuki India,2022-04-29,5,Annually
174,Maruti Suzuki India,2021-04-27,6,Annually
175,Maruti Suzuki India,2024-04-26,4,Quarterly-03
176,Maruti Suzuki India,2023-10-27,7,Quarterly-9
177,Maruti Suzuki India,2023-04-26,6,Quarterly-03
178,Ashok Leyland,2024-05-24,4,Annually
179,Ashok Leyland,2023-05-23,4,Annually
180,Ashok Leyland,2022-05-19,6,Annually
181,Ashok Leyland,2021-06-24,1,Annually
182,Ashok Leyland,2024-05-24,3,Quarterly-03
183,Ashok Leyland,2023-11-09,3,Quarterly-9
184,Ashok Leyland,2023-05-23,4,Quarterly-03
185,Axis Bank,2024-04-24,5,Annually
186,Axis Bank,2023-04-27,6,Annually
187,Axis Bank,2022-04-28,5,Annually
188,Axis Bank,2021-04-27,7,Annually
189,Axis Bank,2024-04-24,4,Quarterly-03
190,Axis Bank,2023-10-25,5,Quarterly-9
191,Axis Bank,2023-04-27,4,Quarterly-03
192,Cipla,2024-05-10,8,Annually
193,Cipla,2023-05-12,7,Annually
194,Cipla,2022-05-10,6,Annually
195,Cipla,2021-05-14,7,Annually
196,Cipla,2024-05-10,5,Quarterly-03
197,Cipla,2023-10-27,7,Quarterly-9
198,Cipla,2023-05-12,7,Quarterly-03
199,Bank Of Baroda,2024-05-10,6,Annually
200,Bank Of Baroda,2023-05-16,7,Annually
201,Bank Of Baroda,2022-05-13,6,Annually
202,Bank Of Baroda,2021-05-29,5,Annually
203,Bank Of Baroda,2024-05-10,6,Quarterly-03
204,Bank Of Baroda,2023-11-04,6,Quarterly-9
205,Bank Of Baroda,2023-05-16,5,Quarterly-03
206,Tata Consultancy Services,2024-04-12,5,Annually
207,Tata Consultancy Services,2023-04-12,6,Annually
208,Tata Consultancy Services,2022-04-11,8,Annually
209,Tata Consultancy Services,2021-04-12,6,Annually
210,Tata Consultancy Services,2024-04-12,6,Quarterly-03
211,Tata Consultancy Services,2023-01-09,6,Quarterly-12
212,Tata Consultancy Services,2023-07-12,5,Quarterly-6
213,Tata Consultancy Services,2023-04-12,7,Quarterly-03
214,Punjab National Bank,2024-05-09,5,Annually
215,Punjab National Bank,2023-05-19,6,Annually
216,Punjab National Bank,2022-05-11,6,Annually
217,Punjab National Bank,2021-06-04,6,Annually
218,Punjab National Bank,2024-05-09,5,Quarterly-03
219,Punjab National Bank,2023-10-26,6,Quarterly-9
220,Punjab National Bank,2023-05-19,7,Quarterly-03
221,Hindustan Unilever,2024-04-24,6,Annually
222,Hindustan Unilever,2023-04-27,6,Annually
223,Hindustan Unilever,2022-04-27,7,Annually
224,Hindustan Unilever,2021-04-29,4,Annually
225,Hindustan Unilever,2024-04-24,6,Quarterly-03
226,Hindustan Unilever,2023-10-19,6,Quarterly-9
227,Hindustan Unilever,2023-04-27,7,Quarterly-03
228,Jubilant Foodworks,2024-05-22,5,Annually
229,Jubilant Foodworks,2023-05-17,4,Annually
230,Jubilant Foodworks,2022-05-30,8,Annually
231,Jubilant Foodworks,2021-06-15,6,Annually
232,Jubilant Foodworks,2024-05-22,7,Quarterly-03
233,Jubilant Foodworks,2023-10-25,8,Quarterly-9
234,Jubilant Foodworks,2023-05-17,6,Quarterly-03
235,Apollo Tyres,2024-05-14,9,Annually
236,Apollo Tyres,2023-05-09,9,Annually
237,Apollo Tyres,2022-05-12,7,Annually
238,Apollo Tyres,2021-05-12,6,Annually
239,Apollo Tyres,2024-05-14,7,Quarterly-03
240,Apollo Tyres,2023-11-07,9,Quarterly-9
241,Apollo Tyres,2023-05-09,7,Quarterly-03
242,Indian Oil Corporation,2024-04-30,7,Annually
243,Indian Oil Corporation,2023-05-16,5,Annually
244,Indian Oil Corporation,2022-05-17,8,Annually
245,Indian Oil Corporation,2021-05-19,7,Annually
246,Indian Oil Corporation,2021-05-18,7,Annually
247,Indian Oil Corporation,2024-04-30,6,Quarterly-03
248,Indian Oil Corporation,2023-10-31,8,Quarterly-9
249,Indian Oil Corporation,2023-05-16,7,Quarterly-03
250,Dr Reddys Laboratories,2024-05-07,5,Annually
251,Dr Reddys Laboratories,2023-05-10,8,Annually
252,Dr Reddys Laboratories,2022-05-19,7,Annually
253,Dr Reddys Laboratories,2021-05-14,5,Annually
254,Dr Reddys Laboratories,2024-05-07,6,Quarterly-03
255,Dr Reddys Laboratories,2023-10-27,6,Quarterly-9
256,Dr Reddys Laboratories,2023-05-10,6,Quarterly-03
257,Bharat Petroleum Corporation,2024-05-09,8,Annually
258,Bharat Petroleum Corporation,2023-05-22,6,Annually
259,Bharat Petroleum Corporation,2022-05-25,5,Annually
260,Bharat Petroleum Corporation,2021-05-26,8,Annually
261,Bharat Petroleum Corporation,2024-05-09,7,Quarterly-03
262,Bharat Petroleum Corporation,2023-10-27,7,Quarterly-9
263,Bharat Petroleum Corporation,2023-05-22,7,Quarterly-03
264,Hindustan Petroleum Corporation,2024-05-09,8,Annually
265,Hindustan Petroleum Corporation,2023-05-12,3,Annually
266,Hindustan Petroleum Corporation,2022-05-19,5,Annually
267,Hindustan Petroleum Corporation,2021-05-20,7,Annually
268,Hindustan Petroleum Corporation,2024-05-09,7,Quarterly-03
269,Hindustan Petroleum Corporation,2023-11-06,7,Quarterly-9
270,Hindustan Petroleum Corporation,2023-05-12,5,Quarterly-03
271,RBL Bank,2024-04-27,6,Annually
272,RBL Bank,2023-04-29,4,Annually
273,RBL Bank,2022-05-12,4,Annually
274,RBL Bank,2021-05-04,6,Annually
275,RBL Bank,2024-04-27,5,Quarterly-03
276,RBL Bank,2023-10-21,3,Quarterly-9
277,RBL Bank,2023-04-29,5,Quarterly-03
278,GAIL India,2024-05-16,6,Annually
279,GAIL India,2023-05-18,4,Annually
280,GAIL India,2022-05-27,8,Annually
281,GAIL India,2021-06-09,5,Annually
282,GAIL India,2024-05-16,5,Quarterly-03
283,GAIL India,2023-10-31,7,Quarterly-9
284,GAIL India,2023-05-18,7,Quarterly-03
285,Rattan India Power,2024-05-22,6,Annually
286,Rattan India Power,2023-05-04,6,Annually
287,Rattan India Power,2022-05-12,5,Annually
288,Rattan India Power,2021-06-18,4,Annually
289,Rattan India Power,2024-05-22,6,Quarterly-03
290,Rattan India Power,2023-11-01,3,Quarterly-9
291,Rattan India Power,2023-05-04,4,Quarterly-03
292,Lupin,2024-05-06,8,Annually
293,Lupin,2023-05-09,5,Annually
294,Lupin,2022-05-18,3,Annually
295,Lupin,2021-05-12,6,Annually
296,Lupin,2024-05-06,6,Quarterly-03
297,Lupin,2023-11-08,8,Quarterly-9
298,Lupin,2023-05-09,6,Quarterly-03
299,LIC Housing Finance,2024-05-15,5,Annually
300,LIC Housing Finance,2023-05-16,5,Annually
301,LIC Housing Finance,2022-05-18,2,Annually
302,LIC Housing Finance,2021-06-15,5,Annually
303,LIC Housing Finance,2024-05-15,4,Quarterly-03
304,LIC Housing Finance,2023-11-01,7,Quarterly-9
305,LIC Housing Finance,2023-05-16,5,Quarterly-03
306,Federal Bank,2024-05-02,7,Annually
307,Federal Bank,2023-05-05,4,Annually
308,Federal Bank,2022-05-06,4,Annually
309,Federal Bank,2021-05-17,5,Annually
310,Federal Bank,2024-05-02,7,Quarterly-03
311,Federal Bank,2023-10-16,6,Quarterly-9
312,Federal Bank,2023-05-05,5,Quarterly-03
313,Spicejet,2022-05-30,4,Annually
314,Spicejet,2021-06-30,3,Annually
315,Spicejet,2023-12-11,2,Quarterly-9
316,Spicejet,2023-12-08,2,Quarterly-9
317,Spicejet,2022-11-14,5,Quarterly-9
318,Hindalco Industries,2024-05-24,5,Annually
319,Hindalco Industries,2023-05-24,6,Annually
320,Hindalco Industries,2022-05-26,7,Annually
321,Hindalco Industries,2021-05-21,6,Annually
322,Hindalco Industries,2024-05-24,7,Quarterly-03
323,Hindalco Industries,2023-11-10,5,Quarterly-9
324,Hindalco Industries,2023-05-24,7,Quarterly-03
325,Bharat Heavy Electricals,2024-05-21,6,Annually
326,Bharat Heavy Electricals,2023-05-26,5,Annually
327,Bharat Heavy Electricals,2022-05-21,7,Annually
328,Bharat Heavy Electricals,2021-06-11,4,Annually
329,Bharat Heavy Electricals,2024-05-21,7,Quarterly-03
330,Bharat Heavy Electricals,2023-11-08,2,Quarterly-9
331,Bharat Heavy Electricals,2023-05-26,5,Quarterly-03
332,Titan Company,2024-05-03,4,Annually
333,Titan Company,2023-05-03,7,Annually
334,Titan Company,2022-05-03,6,Annually
335,Titan Company,2021-04-29,4,Annually
336,Titan Company,2024-05-03,6,Quarterly-03
337,Titan Company,2023-11-03,6,Quarterly-9
338,Titan Company,2023-05-03,7,Quarterly-03
339,Ultratech Cement,2024-04-29,8,Annually
340,Ultratech Cement,2023-04-28,6,Annually
341,Ultratech Cement,2022-04-29,6,Annually
342,Ultratech Cement,2021-05-07,6,Annually
343,Ultratech Cement,2024-04-29,7,Quarterly-03
344,Ultratech Cement,2023-10-19,6,Quarterly-9
345,Ultratech Cement,2023-04-28,7,Quarterly-03
346,Shriram Finance,2024-04-26,4,Annually
347,Shriram Finance,2023-04-27,5,Annually
348,Shriram Finance,2022-04-28,5,Annually
349,Shriram Finance,2021-04-29,3,Annually
350,Shriram Finance,2024-04-26,3,Quarterly-03
351,Shriram Finance,2023-10-26,6,Quarterly-9
352,Shriram Finance,2023-04-27,4,Quarterly-03
353,Muthoot Finance,2024-05-30,2,Annually
354,Muthoot Finance,2023-05-19,3,Annually
355,Muthoot Finance,2022-05-26,4,Annually
356,Muthoot Finance,2021-06-02,3,Annually
357,Muthoot Finance,2024-05-30,5,Quarterly-03
358,Muthoot Finance,2023-11-09,2,Quarterly-9
359,Muthoot Finance,2023-05-19,5,Quarterly-03
360,Asian Paints,2024-05-09,6,Annually
361,Asian Paints,2023-05-11,8,Annually
362,Asian Paints,2022-05-10,5,Annually
363,Asian Paints,2021-05-12,7,Annually
364,Asian Paints,2024-05-09,6,Quarterly-03
365,Asian Paints,2023-10-26,5,Quarterly-9
366,Asian Paints,2023-05-11,7,Quarterly-03
367,Bandhan Bank,2024-05-17,5,Annually
368,Bandhan Bank,2023-05-19,3,Annually
369,Bandhan Bank,2022-05-13,5,Annually
370,Bandhan Bank,2021-05-08,3,Annually
371,Bandhan Bank,2024-05-17,6,Quarterly-03
372,Bandhan Bank,2023-10-18,6,Quarterly-9
373,Bandhan Bank,2023-05-19,5,Quarterly-03
374,Divis Laboratories,2024-05-25,5,Annually
375,Divis Laboratories,2023-05-20,6,Annually
376,Divis Laboratories,2022-05-23,8,Annually
377,Divis Laboratories,2021-05-29,8,Annually
378,Divis Laboratories,2024-05-25,8,Quarterly-03
379,Divis Laboratories,2023-11-06,7,Quarterly-9
380,Divis Laboratories,2023-05-20,7,Quarterly-03
381,Britannia Industries,2024-05-03,8,Annually
382,Britannia Industries,2023-05-05,7,Annually
383,Britannia Industries,2022-05-02,4,Annually
384,Britannia Industries,2021-04-27,7,Annually
385,Britannia Industries,2024-05-03,6,Quarterly-03
386,Britannia Industries,2023-11-03,8,Quarterly-9
387,Britannia Industries,2023-11-01,8,Quarterly-9
388,Britannia Industries,2023-05-05,7,Quarterly-03
389,Adani Power,2024-05-01,7,Annually
390,Adani Power,2023-05-05,7,Annually
391,Adani Power,2022-05-05,9,Annually
392,Adani Power,2021-05-06,8,Annually
393,Adani Power,2024-05-01,5,Quarterly-03
394,Adani Power,2023-11-02,9,Quarterly-9
395,Adani Power,2023-05-05,6,Quarterly-03
396,Sun TV Network,2024-05-24,8,Annually
397,Sun TV Network,2023-05-19,5,Annually
398,Sun TV Network,2022-05-27,5,Annually
399,Sun TV Network,2021-06-11,5,Annually
400,Sun TV Network,2024-05-24,5,Quarterly-03
401,Sun TV Network,2023-11-10,9,Quarterly-9
402,Sun TV Network,2023-05-19,6,Quarterly-03
403,Samvardhana Motherson International,2024-05-29,6,Annually
404,Samvardhana Motherson International,2023-05-26,6,Annually
405,Samvardhana Motherson International,2022-05-26,5,Annually
406,Samvardhana Motherson International,2021-06-02,7,Annually
407,Samvardhana Motherson International,2024-05-29,9,Quarterly-03
408,Samvardhana Motherson International,2023-11-09,4,Quarterly-9
409,Samvardhana Motherson International,2023-05-26,7,Quarterly-03
410,NMDC,2024-05-27,5,Annually
411,NMDC,2024-05-21,5,Annually
412,NMDC,2023-05-23,5,Annually
413,NMDC,2022-05-26,7,Annually
414,NMDC,2021-06-22,7,Annually
415,NMDC,2024-05-27,7,Quarterly-03
416,NMDC,2024-05-21,7,Quarterly-03
417,NMDC,2023-11-14,5,Quarterly-9
418,NMDC,2023-05-23,7,Quarterly-03
419,Hero Motocorp,2024-05-08,7,Annually
420,Hero Motocorp,2023-05-04,6,Annually
421,Hero Motocorp,2022-05-03,3,Annually
422,Hero Motocorp,2021-05-06,4,Annually
423,Hero Motocorp,2024-05-08,6,Quarterly-03
424,Hero Motocorp,2023-11-01,7,Quarterly-9
425,Hero Motocorp,2023-05-04,7,Quarterly-03
426,Sun Pharmaceutical Industries,2024-05-22,9,Annually
427,Sun Pharmaceutical Industries,2023-05-26,5,Annually
428,Sun Pharmaceutical Industries,2022-05-30,8,Annually
429,Sun Pharmaceutical Industries,2021-05-27,7,Annually
430,Sun Pharmaceutical Industries,2020-05-27,7,Annually
431,Sun Pharmaceutical Industries,2019-05-28,7,Annually
432,Sun Pharmaceutical Industries,2024-05-22,7,Quarterly-03
433,Sun Pharmaceutical Industries,2023-11-01,9,Quarterly-9
434,Sun Pharmaceutical Industries,2023-05-26,7,Quarterly-03
435,Havells India,2024-04-30,6,Annually
436,Havells India,2023-05-03,5,Annually
437,Havells India,2022-05-04,5,Annually
438,Havells India,2021-05-20,4,Annually
439,Havells India,2024-04-30,6,Quarterly-03
440,Havells India,2023-10-19,5,Quarterly-9
441,Havells India,2023-05-03,6,Quarterly-03
442,Bharat Electronics,2024-05-20,9,Annually
443,Bharat Electronics,2023-05-20,7,Annually
444,Bharat Electronics,2022-05-23,4,Annually
445,Bharat Electronics,2021-06-22,5,Annually
446,Bharat Electronics,2024-05-20,8,Quarterly-03
447,Bharat Electronics,2023-10-28,6,Quarterly-9
448,Bharat Electronics,2023-05-20,6,Quarterly-03
449,Eicher Motors,2024-05-10,5,Annually
450,Eicher Motors,2023-05-11,5,Annually
451,Eicher Motors,2022-05-13,6,Annually
452,Eicher Motors,2021-05-27,5,Annually
453,Eicher Motors,2024-05-10,5,Quarterly-03
454,Eicher Motors,2023-11-10,6,Quarterly-9
455,Eicher Motors,2023-05-11,7,Quarterly-03
456,Adani Enterprises,2024-05-02,7,Annually
457,Adani Enterprises,2023-05-04,7,Annually
458,Adani Enterprises,2022-05-03,4,Annually
459,Adani Enterprises,2021-05-05,5,Annually
460,Adani Enterprises,2024-05-02,8,Quarterly-03
461,Adani Enterprises,2023-11-02,6,Quarterly-9
462,Adani Enterprises,2023-05-04,7,Quarterly-03
463,Nestle India,2024-04-25,6,Annually
464,Nestle India,2022-02-17,8,Annually
465,Nestle India,2021-02-16,5,Annually
466,Nestle India,2024-04-25,6,Quarterly-03
467,Nestle India,2023-07-27,7,Quarterly-6
468,Escorts Kubota,2024-05-09,7,Annually
469,Escorts Kubota,2023-05-10,5,Annually
470,Escorts Kubota,2022-05-13,5,Annually
471,Escorts Kubota,2021-05-14,6,Annually
472,Escorts Kubota,2024-05-09,7,Quarterly-03
473,Escorts Kubota,2023-11-03,7,Quarterly-9
474,Escorts Kubota,2023-05-10,7,Quarterly-03
475,JSW Steel,2024-05-17,6,Annually
476,JSW Steel,2023-05-19,5,Annually
477,JSW Steel,2022-05-27,8,Annually
478,JSW Steel,2021-05-21,6,Annually
479,JSW Steel,2024-05-17,4,Quarterly-03
480,JSW Steel,2023-10-20,4,Quarterly-9
481,JSW Steel,2023-05-19,7,Quarterly-03
482,Suzlon Energy,2024-05-24,5,Annually
483,Suzlon Energy,2023-05-30,7,Annually
484,Suzlon Energy,2022-05-25,4,Annually
485,Suzlon Energy,2021-06-29,7,Annually
486,Suzlon Energy,2024-05-24,6,Quarterly-03
487,Suzlon Energy,2023-11-02,4,Quarterly-9
488,Suzlon Energy,2023-05-30,6,Quarterly-03
489,Hindustan Copper,2024-05-24,5,Annually
490,Hindustan Copper,2023-05-19,5,Annually
491,Hindustan Copper,2022-05-28,7,Annually
492,Hindustan Copper,2021-06-25,8,Annually
493,Hindustan Copper,2024-05-24,8,Quarterly-03
494,Hindustan Copper,2023-11-10,6,Quarterly-9
495,Hindustan Copper,2023-05-19,7,Quarterly-03
496,Tata Chemicals,2024-04-29,5,Annually
497,Tata Chemicals,2023-05-03,8,Annually
498,Tata Chemicals,2022-04-29,7,Annually
499,Tata Chemicals,2021-05-03,5,Annually
500,Tata Chemicals,2024-04-29,4,Quarterly-03
501,Tata Chemicals,2023-11-10,5,Quarterly-9
502,Tata Chemicals,2023-05-03,7,Quarterly-03
503,Bharat Forge,2024-05-08,7,Annually
504,Bharat Forge,2023-05-05,6,Annually
505,Bharat Forge,2022-05-16,7,Annually
506,Bharat Forge,2021-06-04,5,Annually
507,Bharat Forge,2024-05-08,7,Quarterly-03
508,Bharat Forge,2023-11-06,7,Quarterly-9
509,Bharat Forge,2023-05-05,7,Quarterly-03
510,Ambuja Cements,2024-05-01,7,Annually
511,Ambuja Cements,2021-02-18,8,Annually
512,Ambuja Cements,2024-05-01,6,Quarterly-03
513,Ambuja Cements,2023-11-01,7,Quarterly-9
514,Ambuja Cements,2022-02-17,5,Quarterly-12
515,Apollo Hospitals Enterprise,2024-05-30,5,Annually
516,Apollo Hospitals Enterprise,2023-05-30,7,Annually
517,Apollo Hospitals Enterprise,2022-05-25,8,Annually
518,Apollo Hospitals Enterprise,2021-06-23,5,Annually
519,Apollo Hospitals Enterprise,2024-05-30,7,Quarterly-03
520,Wipro,2024-04-19,7,Annually
521,Wipro,2023-04-27,6,Annually
522,Wipro,2022-04-29,2,Annually
523,Wipro,2024-04-19,6,Quarterly-03
524,Wipro,2023-01-13,6,Quarterly-12
525,Wipro,2023-10-18,7,Quarterly-9
526,Wipro,2023-07-13,4,Quarterly-6
527,Wipro,2023-04-27,6,Quarterly-03
528,Wipro,2022-01-12,7,Quarterly-12
529,Avenue Supermarts,2024-05-04,6,Annually
