,stockLink,stockName,stockSymbol
51,https://www.livemint.com/market/market-stats/stocks-tata-power-share-price-nse-bse-s0003067,Tata Power,TATAPOWER
52,https://www.livemint.com/market/market-stats/stocks-power-grid-corporation-of-india-share-price-nse-bse-s0003068,Power Grid Corporation Of India,POWERGRID
53,https://www.livemint.com/market/market-stats/stocks-jindal-steel-power-share-price-nse-bse-s0003069,Jindal Steel &amp; Power,JINDALSTEL
54,https://www.livemint.com/market/market-stats/stocks-federal-bank-share-price-nse-bse-s0003070,Federal Bank,FEDERALBNK
55,https://www.livemint.com/market/market-stats/stocks-spicejet-share-price-nse-bse-s0003071,Spicejet,SPICEJET
56,https://www.livemint.com/market/market-stats/stocks-hindalco-industries-share-price-nse-bse-s0003072,Hindalco Industries,HINDALCO
57,https://www.livemint.com/market/market-stats/stocks-bharat-heavy-electricals-share-price-nse-bse-s0003073,Bharat Heavy Electricals,BHEL
58,https://www.livemint.com/market/market-stats/stocks-titan-company-share-price-nse-bse-s0003074,Titan Company,TITAN
59,https://www.livemint.com/market/market-stats/stocks-ultratech-cement-share-price-nse-bse-s0003075,Ultratech Cement,ULTRACEMCO
60,https://www.livemint.com/market/market-stats/stocks-mahindra-mahindra-financial-share-price-nse-bse-s0003076,Mahindra &amp; Mahindra Financial,M&MFIN
61,https://www.livemint.com/market/market-stats/stocks-shriram-finance-share-price-nse-bse-s0003077,Shriram Finance,SHRIRAMFIN
62,https://www.livemint.com/market/market-stats/stocks-muthoot-finance-share-price-nse-bse-s0003078,Muthoot Finance,MUTHOOTFIN
63,https://www.livemint.com/market/market-stats/stocks-asian-paints-share-price-nse-bse-s0003079,Asian Paints,ASIANPAINT
64,https://www.livemint.com/market/market-stats/stocks-bandhan-bank-share-price-nse-bse-s0003080,Bandhan Bank,BANDHANBNK
65,https://www.livemint.com/market/market-stats/stocks-divis-laboratories-share-price-nse-bse-s0003081,Divis Laboratories,DIVISLAB
66,https://www.livemint.com/market/market-stats/stocks-britannia-industries-share-price-nse-bse-s0003082,Britannia Industries,BRITANNIA
67,https://www.livemint.com/market/market-stats/stocks-adani-power-share-price-nse-bse-s0003083,Adani Power,ADANIPOWER
68,https://www.livemint.com/market/market-stats/stocks-sun-tv-network-share-price-nse-bse-s0003084,Sun TV Network,SUNTV
69,https://www.livemint.com/market/market-stats/stocks-samvardhana-motherson-international-share-price-nse-bse-s0003085,Samvardhana Motherson International,MOTHERSON
70,https://www.livemint.com/market/market-stats/stocks-adani-ports-special-economic-zone-share-price-nse-bse-s0003086,Adani Ports &amp; Special Economic Zone,ADANIPORTS
71,https://www.livemint.com/market/market-stats/stocks-nmdc-share-price-nse-bse-s0003087,NMDC,NMDC
72,https://www.livemint.com/market/market-stats/stocks-hero-motocorp-share-price-nse-bse-s0003088,Hero Motocorp,HEROMOTOCO
73,https://www.livemint.com/market/market-stats/stocks-sun-pharmaceutical-industries-share-price-nse-bse-s0003089,Sun Pharmaceutical Industries,SUNPHARMA
74,https://www.livemint.com/market/market-stats/stocks-havells-india-share-price-nse-bse-s0003090,Havells India,HAVELLS
75,https://www.livemint.com/market/market-stats/stocks-bharat-electronics-share-price-nse-bse-s0003091,Bharat Electronics,BEL
76,https://www.livemint.com/market/market-stats/stocks-l-t-finance-share-price-nse-bse-s0003092,L&amp;T FINANCE,LTF
77,https://www.livemint.com/market/market-stats/stocks-eicher-motors-share-price-nse-bse-s0003093,Eicher Motors,EICHERMOT
78,https://www.livemint.com/market/market-stats/stocks-adani-enterprises-share-price-nse-bse-s0003094,Adani Enterprises,ADANIENT
79,https://www.livemint.com/market/market-stats/stocks-nestle-india-share-price-nse-bse-s0003095,Nestle India,NESTLEIND
80,https://www.livemint.com/market/market-stats/stocks-escorts-kubota-share-price-nse-bse-s0003096,Escorts Kubota,ESCORTS
81,https://www.livemint.com/market/market-stats/stocks-jsw-steel-share-price-nse-bse-s0003097,JSW Steel,JSWSTEEL
82,https://www.livemint.com/market/market-stats/stocks-suzlon-energy-share-price-nse-bse-s0003098,Suzlon Energy,SUZLON
83,https://www.livemint.com/market/market-stats/stocks-hindustan-copper-share-price-nse-bse-s0003099,Hindustan Copper,HINDCOPPER
84,https://www.livemint.com/market/market-stats/stocks-tata-chemicals-share-price-nse-bse-s0003100,Tata Chemicals,TATACHEM
85,https://www.livemint.com/market/market-stats/stocks-bharat-forge-share-price-nse-bse-s0003101,Bharat Forge,BHARATFORG
86,https://www.livemint.com/market/market-stats/stocks-ambuja-cements-share-price-nse-bse-s0003102,Ambuja Cements,AMBUJACEM
87,https://www.livemint.com/market/market-stats/stocks-hdfc-life-insurance-company-share-price-nse-bse-s0003103,HDFC Life Insurance Company,HDFCLIFE
88,https://www.livemint.com/market/market-stats/stocks-apollo-hospitals-enterprise-share-price-nse-bse-s0003104,Apollo Hospitals Enterprise,APOLLOHOSP
89,https://www.livemint.com/market/market-stats/stocks-wipro-share-price-nse-bse-s0003105,Wipro,WIPRO
90,https://www.livemint.com/market/market-stats/stocks-avenue-supermarts-share-price-nse-bse-s0003106,Avenue Supermarts,DMART
91,https://www.livemint.com/market/market-stats/stocks-voltas-share-price-nse-bse-s0003107,Voltas,VOLTAS
92,https://www.livemint.com/market/market-stats/stocks-bata-india-share-price-nse-bse-s0003108,Bata India,BATAINDIA
93,https://www.livemint.com/market/market-stats/stocks-delta-corp-share-price-nse-bse-s0003109,Delta Corp,DELTACORP
94,https://www.livemint.com/market/market-stats/stocks-jaiprakash-associates-share-price-nse-bse-s0003110,Jaiprakash Associates,JPASSOCIAT
95,https://www.livemint.com/market/market-stats/stocks-jm-financial-share-price-nse-bse-s0003111,JM Financial,JMFINANCIL
96,https://www.livemint.com/market/market-stats/stocks-mazagon-dock-shipbuilders-share-price-nse-bse-s0003112,Mazagon Dock Shipbuilders,MAZDOCK
97,https://www.livemint.com/market/market-stats/stocks-nbcc-india-share-price-nse-bse-s0003113,NBCC India,NBCC
98,https://www.livemint.com/market/market-stats/stocks-indraprastha-gas-share-price-nse-bse-s0003114,Indraprastha Gas,IGL
99,https://www.livemint.com/market/market-stats/stocks-tech-mahindra-share-price-nse-bse-s0003115,Tech Mahindra,TECHM
100,https://www.livemint.com/market/market-stats/stocks-3i-iinfotech-share-price-nse-bse-s0003116,3I Iinfotech,3IINFOLTD
101,https://www.livemint.com/market/market-stats/stocks-birlasoft-share-price-nse-bse-s0003117,Birlasoft,BSOFT
102,https://www.livemint.com/market/market-stats/stocks-piramal-enterprises-share-price-nse-bse-s0003118,Piramal Enterprises,PEL
103,https://www.livemint.com/market/market-stats/stocks-national-aluminium-company-share-price-nse-bse-s0003119,National Aluminium Company,NATIONALUM
104,https://www.livemint.com/market/market-stats/stocks-bajaj-auto-share-price-nse-bse-s0003120,Bajaj Auto,BAJAJ-AUTO
105,https://www.livemint.com/market/market-stats/stocks-biocon-share-price-nse-bse-s0003121,Biocon,BIOCON
106,https://www.livemint.com/market/market-stats/stocks-reliance-industries-partly-paid-share-price-nse-bse-s0003122,Reliance Industries Partly Paid,Reliance Industries Partly Paid
107,https://www.livemint.com/market/market-stats/stocks-vakrangee-share-price-nse-bse-s0003123,Vakrangee,VAKRANGEE
108,https://www.livemint.com/market/market-stats/stocks-interglobe-aviation-share-price-nse-bse-s0003124,Interglobe Aviation,INDIGO
109,https://www.livemint.com/market/market-stats/stocks-deepak-nitrite-share-price-nse-bse-s0003125,Deepak Nitrite,DEEPAKNTR
110,https://www.livemint.com/market/market-stats/stocks-tata-consumer-share-price-nse-bse-s0003126,Tata Consumer,TATACONSUM
111,https://www.livemint.com/market/market-stats/stocks-rec-share-price-nse-bse-s0003127,REC,RECLTD
112,https://www.livemint.com/market/market-stats/stocks-acc-share-price-nse-bse-s0003128,ACC,ACC
113,https://www.livemint.com/market/market-stats/stocks-dabur-india-share-price-nse-bse-s0003129,Dabur India,DABUR
114,https://www.livemint.com/market/market-stats/stocks-page-industries-share-price-nse-bse-s0003130,Page Industries,PAGEIND
115,https://www.livemint.com/market/market-stats/stocks-astec-lifesciences-share-price-nse-bse-s0003131,Astec Lifesciences,ASTEC
116,https://www.livemint.com/market/market-stats/stocks-aurobindo-pharma-share-price-nse-bse-s0003132,Aurobindo Pharma,AUROPHARMA
117,https://www.livemint.com/market/market-stats/stocks-jaiprakash-power-ventures-share-price-nse-bse-s0003133,Jaiprakash Power Ventures,JPPOWER
118,https://www.livemint.com/market/market-stats/stocks-info-edge-india-share-price-nse-bse-s0003134,Info Edge India,NAUKRI
119,https://www.livemint.com/market/market-stats/stocks-cg-power-industrial-solutions-share-price-nse-bse-s0003135,CG Power &amp; Industrial Solutions,CGPOWER
120,https://www.livemint.com/market/market-stats/stocks-b-e-m-l-share-price-nse-bse-s0003136,B E M L,BEML
121,https://www.livemint.com/market/market-stats/stocks-idfc-first-bank-share-price-nse-bse-s0003137,IDFC First Bank,IDFCFIRSTB
122,https://www.livemint.com/market/market-stats/stocks-tvs-motor-co-share-price-nse-bse-s0003138,TVS Motor Co,TVSMOTOR
123,https://www.livemint.com/market/market-stats/stocks-sbi-cards-payment-services-share-price-nse-bse-s0003139,SBI Cards &amp; Payment Services,SBICARD
